bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;604;576;680;690;690;674;646;698;620;790;788;891;703;782;656;732;709;754;550;727;462;624;530;788;224;431
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;679;613;814;759;800;794;839;897;841;1013;1070;1112;882;1054;837;1111;906;1090;829;997;699;987;1036;1472;534;937
Jardim Sulacap;137;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;360;359;417;421;438;486;514;551;572;640;558;650;505;552;441;501;503;604;442;517;290;411;343;512;156;298
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;24;20;14;20;21;29;32;31;50;44;44;41;46;50;49;40;36;40;27;34;19;24;47;46;21;25
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;379;356;400;386;387;401;478;521;610;699;686;781;648;734;499;672;635;752;661;770;550;815;918;1195;454;695
Lapa;161;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;113;120;235;231;405;396;445;428;436;412;413;392;337;308;262;331;331;338;259;324;225;328;244;483;103;251
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;786;785;936;977;1178;1243;1263;1395;1442;1698;1578;1848;1253;1505;1059;1431;1216;1595;1215;1616;912;1516;1345;2333;738;1783
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;688;649;816;775;934;996;1095;1244;1195;1395;1339;1536;1192;1460;1089;1284;1076;1432;1165;1565;1109;1556;1736;2768;1109;2210
Leme;23;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;219;221;312;354;404;469;484;462;464;529;443;504;371;423;346;387;396;467;305;487;302;433;498;796;261;584
Lins de Vasconcelos;62;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;845;780;1024;1087;980;1162;1092;1220;1128;1411;1070;1247;960;1149;871;1117;794;1134;827;1029;603;919;641;1182;311;810
