bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
São Conrado;31;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;10;6;9;8;6;14;7;9;2;10;9;6;6;8;6;4;5;2;4;1;;;1;1;;;;;2;;;
São Francisco Xavier;57;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;11;18;19;18;21;13;27;22;54;30;23;33;28;39;28;24;31;40;30;34;28;31;28;30;30;22;14;14;10;7;9;8
Saúde;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;2073;2003;2787;2626;2750;2708;3078;3356;3660;3888;3675;4237;3436;3776;2895;3213;2851;3083;2503;2668;2182;2344;1549;1786;1124;1220;700;785;466;573;360;721
Senador Camará;142;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;376;387;634;614;569;606;565;559;611;659;568;632;506;535;490;487;438;476;385;388;297;282;204;194;101;125;72;96;64;61;36;103
Senador Vasconcelos;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;762;791;1217;1273;1261;1217;1288;1244;1244;1293;1135;1274;1067;1113;924;986;783;790;589;591;398;424;280;304;152;195;103;142;78;73;48;70
Sepetiba;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;1018;1012;1685;1666;1680;1559;1518;1610;1398;1611;1295;1462;1171;1403;1218;1382;1093;1269;896;1092;558;666;406;621;320;486;254;410;149;255;106;212
Tanque;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;6559;6620;10207;9832;9782;9824;10177;9885;9924;10381;8908;9843;7813;9070;7764;8849;7834;9149;7051;8375;5556;7033;4103;5378;2813;3710;2043;3018;1294;2239;1138;2193
Taquara;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;85;79;106;151;558;150;3125;296;2966;247;2065;209;1305;177;720;149;465;122;267;80;134;54;59;32;41;17;19;24;10;11;14;12
Tauá;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;1783;1672;2467;2451;2445;2484;2388;2485;2579;2762;2321;2587;2150;2439;2009;2347;2010;2398;1934;2405;1597;2012;1290;1522;887;1095;601;893;354;654;365;778
Tijuca;33;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;2891;2871;4536;4414;4324;4390;4403;4577;4556;4620;3961;4198;3463;3856;3262;3775;3127;3548;2775;3342;2273;2714;1666;2071;1086;1432;795;1176;514;703;387;739
Todos os Santos;64;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;8766;8637;13440;13035;12817;12885;12658;12918;12850;13894;12291;13967;11612;13242;11201;12639;10610;12323;9636;11464;8013;9869;6011;7399;3933;5012;2771;3856;1764;2706;1569;3063
Tomás Coelho;56;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;2322;2132;3627;3466;3349;3308;3128;3282;3138;3351;2946;3154;2728;3113;2684;2949;2378;2700;1983;2265;1488;1710;998;1376;745;890;578;730;337;487;259;413
Turiaçú;85;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1850;1940;3129;3057;2990;2878;2631;2706;2596;2806;2451;2818;2199;2426;2158;2329;1879;2100;1599;1910;1247;1454;869;1023;575;710;431;529;209;358;168;325
Urca;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1189;1128;1760;1667;1699;1786;1636;1640;1633;1765;1591;1843;1605;1772;1397;1569;1355;1482;1131;1339;951;1025;675;726;437;512;305;393;193;284;133;234
Vargem Grande;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;851;857;1289;1284;1290;1281;1178;1224;1212;1345;1236;1321;1038;1247;1060;1147;945;1120;874;1026;688;835;523;660;324;428;220;310;133;196;122;217
Vargem Pequena;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;2673;2711;4537;4297;4246;4069;3843;3902;3830;4132;3558;3964;3264;3591;2907;3257;2726;3000;2289;2839;1941;2321;1439;1640;883;1092;600;784;357;538;284;478
Vasco da Gama;158;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;404;369;558;564;577;531;650;662;717;737;604;689;490;589;489;560;453;559;430;532;316;398;258;349;170;226;145;254;97;180;104;240
Vaz Lobo;84;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;6379;6350;10236;10030;9756;9744;8738;9083;8793;9304;8142;9146;7627;8240;6901;7462;5771;6762;5120;6289;4159;4952;3118;3841;2027;2466;1387;1864;827;1217;621;1147
Vicente de Carvalho;73;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;1665;1692;2650;2645;2406;2421;2185;2165;2068;2219;1902;2094;1847;2051;1720;1975;1565;1846;1506;1677;1167;1471;948;1140;699;814;524;615;311;414;241;429
Vidigal;30;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;83;83;133;131;154;139;137;165;148;148;125;126;116;131;144;142;136;125;120;130;99;103;88;81;56;68;38;48;27;29;25;31
Vigário Geral;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;3287;3171;5325;5168;4657;4896;4326;4507;4428;4795;4482;4986;4227;4470;3550;3891;3082;3288;2442;2632;1911;2058;1386;1536;924;1051;661;780;393;454;301;485
Vila da Penha;74;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;58;39;77;78;76;75;43;53;18;32;26;44;46;67;121;102;128;88;31;28;2;4;1;3;;4;4;6;2;5;;1
Vila Isabel;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;307;308;524;501;440;463;399;425;418;445;351;437;388;421;345;353;331;379;304;345;241;368;202;297;132;165;87;115;49;76;30;122
Vila Kosmos;72;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;265;246;383;310;350;336;353;347;381;384;340;376;311;333;310;334;342;375;268;340;248;307;191;236;141;190;112;136;90;95;70;121
Vila Militar;135;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;321;282;462;449;450;428;424;436;526;543;488;583;450;567;492;547;583;626;431;515;355;397;244;291;161;256;157;191;97;161;101;194
Vila Valqueire;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;630;616;965;891;959;972;1049;1011;986;1058;902;949;797;907;795;889;737;936;722;901;576;760;427;539;286;435;221;323;158;252;133;262
Vista Alegre;75;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;4966;4786;7268;7059;7156;6854;6965;7352;7214;7654;6556;7409;6061;6874;5617;6556;5671;6763;5232;6472;4294;5322;3156;4141;2154;3087;1653;2590;1112;1742;964;1814
Zumbi;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;389;368;499;501;490;503;474;503;533;670;765;675;505;563;427;444;373;428;317;432;231;400;247;275;142;162;99;160;69;105;54;82
